    [214, 653, 784, 195, 372, 856, 419, 583, 274, 916, 758, 234, 682]
    [436, 287, 910, 182, 745, 364, 918, 563, 234, 876, 453, 365, 984]
    [128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288]
    [444, 555, 666, 777, 888, 999, 111, 222, 333, 1234, 5678, 9876, 5432]
    [678, 543, 876, 654, 234, 456, 678, 890, 123, 345, 567, 789, 101]
    [202, 303, 404, 505, 606, 707, 808, 909, 1010, 1212, 1313, 1414, 1515]
    [777, 888, 999, 1010, 1212, 1313, 1414, 1515, 1616, 1717, 1818, 1919, 2020]
    [4321, 1234, 5678, 8765, 3456, 6543, 7890, 9876, 5432, 210, 1212, 1010, 3030]
    [890, 765, 543, 321, 111, 222, 333, 444, 555, 666, 777, 888, 999]
    [1111, 2222, 3333, 4444, 5555, 6666, 7777, 8888, 9999, 10101, 12121, 14141, 16161]
    [321, 123, 987, 654, 111, 222, 333, 444, 555, 666, 777, 888, 999]
    [765, 456, 654, 234, 432, 876, 543, 234, 345, 567, 789, 890, 123]
    [543, 678, 890, 123, 765, 654, 234, 876, 345, 567, 789, 101, 987]
    [909, 808, 707, 606, 505, 404, 303, 202, 101, 111, 222, 333, 444]
    [1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 1048576, 2097152, 4194304]
    [4567, 8901, 2345, 6789, 1234, 5678, 3456, 7890, 4321, 8765, 5432, 2109, 3210]
